예술의전당 리사이틀홀,이준성 피아노 독주회,대관,2018-03-06,2018-03-06,129
예술의전당 콘서트홀,코리안팝스오케스트라 The Movie Night,대관,2018-03-06,2018-03-06,1734
예술의전당 IBK챔버홀,나정혜 피아노 독주회,대관,2018-03-07,2018-03-07,358
예술의전당 리사이틀홀,2018 대한민국실내악작곡제전 I,대관,2018-03-07,2018-03-07,133
예술의전당 콘서트홀,임동혁 피아노 리사이틀,대관,2018-03-07,2018-03-07,1672
예술의전당 IBK챔버홀,The Felix Trio - 시대의 소음 - [Shostakovich],대관,2018-03-08,2018-03-08,280
예술의전당 리사이틀홀,이동일 첼로 독주회,대관,2018-03-08,2018-03-08,193
예술의전당 콘서트홀,제5회 헤럴드필하모닉 오케스트라 정기연주회,대관,2018-03-08,2018-03-08,1669
예술의전당 콘서트홀,한화생명과 함께하는 예술의전당 11시콘서트(3월),기획,2018-03-08,2018-03-08,1592
예술의전당 IBK챔버홀,김성훈 피아노 독주회-브람스 전곡 시리즈4,대관,2018-03-09,2018-03-09,243
예술의전당 리사이틀홀,백희진 첼로 독주회,대관,2018-03-09,2018-03-09,201
예술의전당 콘서트홀,100년전통 잘츠부르그 오케스트라 솔리스텐 신춘음악회,대관,2018-03-09,2018-03-09,978
예술의전당 IBK챔버홀,라임오페라앙상블 정기연주회,대관,2018-03-10,2018-03-10,461
예술의전당 IBK챔버홀,2018 코리안심포니오케스트라 실내악 시리즈,대관,2018-03-10,2018-03-10,413
예술의전당 리사이틀홀,황대진 비올라 독주회,대관,2018-03-10,2018-03-10,121
예술의전당 리사이틀홀,이영은 귀국 첼로 독주회,대관,2018-03-10,2018-03-10,217
예술의전당 콘서트홀,서울시향 2018 올해의 음악가 이안 보스트리지①,대관,2018-03-10,2018-03-10,1328
예술의전당 IBK챔버홀,화이트데이 콘서트,대관,2018-03-11,2018-03-11,342
예술의전당 IBK챔버홀,해피버스데이 피아졸라,대관,2018-03-11,2018-03-11,565
예술의전당 리사이틀홀,김홍준 바이올린 독주회,대관,2018-03-11,2018-03-11,216
예술의전당 리사이틀홀,박미희 바이올린 독주회,대관,2018-03-11,2018-03-11,76
예술의전당 콘서트홀,서울시향 2018 올해의 음악가 이안 보스트리지②,대관,2018-03-11,2018-03-11,1180
예술의전당 한가람미술관,2018 제10회 예술의전당 작가스튜디오展,기획,2018-03-11,2018-03-21,6065
예술의전당 IBK챔버홀,바흐솔리스텐서울 마스터피스시리즈 VII,대관,2018-03-13,2018-03-13,447
예술의전당 콘서트홀,2018 세아이운형문화재단 음악회_세상을 아름답게 하는 오페라 버킷,대관,2018-03-13,2018-03-13,1453
예술의전당 IBK챔버홀,2018 앙상블 모인 정기연주회,대관,2018-03-14,2018-03-14,298
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(1차예선),대관,2018-03-14,2018-03-14,39
예술의전당 콘서트홀,한국 오페라 70주년 기념음악회,대관,2018-03-14,2018-03-14,1489
예술의전당 IBK챔버홀,바리톤 나건용 독창회,대관,2018-03-15,2018-03-15,410
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(1차예선),대관,2018-03-15,2018-03-15,30
예술의전당 콘서트홀,제10회 솔리스트 브라스 밴드 정기연주회,대관,2018-03-15,2018-03-15,1357
예술의전당 IBK챔버홀,"한상일, 이우일  젠틀듀오 리사이틀",대관,2018-03-16,2018-03-16,222
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(1차예선),대관,2018-03-16,2018-03-16,27
예술의전당 콘서트홀,서울시향 2018 베토벤 교향곡 영웅,대관,2018-03-16,2018-03-16,2217
예술의전당 IBK챔버홀,Bon Soloists,대관,2018-03-17,2018-03-17,217
예술의전당 IBK챔버홀,룩스 트리오 제1회 정기연주회,대관,2018-03-17,2018-03-17,399
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(1차예선),대관,2018-03-17,2018-03-17,72
예술의전당 콘서트홀,신세계와 함께하는 2018 예술의전당 토요콘서트(3월),기획,2018-03-17,2018-03-17,1904
예술의전당 IBK챔버홀,GRE 기타 앙상블 콘서트,대관,2018-03-18,2018-03-18,224
예술의전당 IBK챔버홀,백주영&일리야 라쉬코프스키 듀오 리사이틀,대관,2018-03-18,2018-03-18,393
예술의전당 리사이틀홀,안명주 플루트 독주회,대관,2018-03-18,2018-03-18,253
예술의전당 리사이틀홀,안수현 귀국 콘트라베이스 독주회,대관,2018-03-18,2018-03-18,394
예술의전당 콘서트홀,서울챔버오케스트라 창단 40주년 기념 정기연주회,대관,2018-03-18,2018-03-18,1216
